"id","fhudcode","lat","lng"
"18594","DOH000000000001082","16.0077896","121.6680374"
"18595","DOH000000000001084","15.7698298","121.4909210"
"18596","DOH000000000001085","14.0987597","122.9052963"
"18597","DOH000000000001087","6.9116902","126.0285034"
"18598","DOH000000000001088","7.0066099","126.2855988"
"18599","DOH000000000001089","14.0959997","122.3779068"
"18600","DOH000000000001090","6.6735601","125.2295837"
"18601","DOH000000000001091","15.9927902","120.2657318"
"18602","DOH000000000001092","11.4538498","122.9642181"
"18603","DOH000000000001095","16.3363495","122.1401062"
"18604","DOH000000000001096","7.4938102","125.7255936"
"18605","DOH000000000001097","11.4000998","122.5252686"
"18606","DOH000000000001098","6.3935199","125.5884171"
"18607","DOH000000000001099","11.3784304","122.7638397"
"18608","DOH000000000001100","16.4358406","120.4685287"
"18609","DOH000000000001101","16.8988400","120.4229736"
"18610","DOH000000000001102","16.5058899","120.4098892"
"18611","DOH000000000001103","6.6759601","125.3136215"
"18612","DOH000000000001104","7.2411399","126.4869766"
"18613","DOH000000000001106","6.6479201","125.3092575"
"18614","DOH000000000001108","6.5570402","125.4187012"
"18615","DOH000000000001110","11.3486996","122.7216873"
"18616","DOH000000000001112","11.4817801","122.8425293"
"18617","DOH000000000001113","10.6227999","123.4589996"
"18618","DOH000000000001114","16.1857796","119.5969086"
"18619","DOH000000000001115","16.2704906","120.4751129"
"18620","DOH000000000001116","13.1866398","123.6022034"
"18621","DOH000000000001118","16.2567997","120.2488403"
"18622","DOH000000000001119","16.1020298","120.2677307"
"18623","DOH000000000001120","16.0293999","120.3155365"
"18624","DOH000000000001121","11.4805803","122.7631607"
"18625","DOH000000000001122","15.8208904","121.5335007"
"18626","DOH000000000001123","7.3038402","125.6855392"
"18627","DOH000000000001124","16.0096302","120.4670334"
"18628","DOH000000000001125","6.7352099","125.1839828"
"18629","DOH000000000001126","11.2137299","122.4837418"
"18630","DOH000000000001127","6.7838998","125.3630676"
"18631","DOH000000000001128","7.5004401","125.6719208"
"18632","DOH000000000001129","6.3199000","125.5515900"
"18633","DOH000000000001130","7.4820600","125.6465912"
"18634","DOH000000000001131","7.3176298","125.7236633"
"18635","DOH000000000001132","16.0911999","120.3335419"
"18636","DOH000000000001134","16.0614204","120.2796783"
"18637","DOH000000000001136","15.9945898","120.7917023"
"18638","DOH000000000001137","15.9473600","120.1908264"
"18639","DOH000000000001138","6.2844300","125.5849686"
"18640","DOH000000000001139","16.0011902","120.4700394"
"18641","DOH000000000001142","16.1313896","120.2527466"
"18642","DOH000000000001143","17.3543491","120.4949188"
"18643","DOH000000000001145","6.3553500","126.1987762"
"18644","DOH000000000001146","17.2249393","120.4540405"
"18645","DOH000000000001147","14.0575304","122.9386673"
"18646","DOH000000000001149","11.5155802","122.7555466"
"18647","DOH000000000001150","7.4240999","126.4916916"
"18648","DOH000000000001151","11.4066200","122.9086609"
"18649","DOH000000000001153","16.0461292","120.3787384"
"18650","DOH000000000001154","15.9410496","120.2541428"
"18651","DOH000000000001155","17.3908997","120.4845963"
"18652","DOH000000000001156","6.3243999","126.1934509"
"18653","DOH000000000001157","6.1917500","125.6799316"
"18654","DOH000000000001158","11.5522804","122.7585220"
"18655","DOH000000000001159","11.2755899","122.7561874"
"18656","DOH000000000001162","16.7035007","120.3726196"
"18657","DOH000000000001163","16.0620804","120.2461777"
"18658","DOH000000000001164","6.7029700","125.3611069"
"18659","DOH000000000001165","16.3628597","120.4201431"
"18660","DOH000000000001166","16.7822208","120.4454269"
"18661","DOH000000000001167","16.7376194","120.4548569"
"18662","DOH000000000001169","11.5958595","122.7214279"
"18663","DOH000000000001170","6.9362102","125.7509079"
"18664","DOH000000000001171","7.3469100","125.7643738"
"18665","DOH000000000001174","6.9422402","126.1335602"
"18666","DOH000000000001175","7.0894299","125.7356415"
"18667","DOH000000000001176","6.8124900","125.1937637"
"18668","DOH000000000001178","16.4361000","120.4057083"
"18669","DOH000000000001179","17.2256908","120.4866867"
"18670","DOH000000000001180","6.2013001","125.5477676"
"18671","DOH000000000001181","7.3225498","125.6296463"
"18672","DOH000000000001182","13.1965904","123.5637589"
"18673","DOH000000000001184","16.6909103","120.5053864"
"18674","DOH000000000001185","17.1283302","120.4370728"
"18675","DOH000000000001187","16.0378494","120.2250366"
"18676","DOH000000000001188","17.1765995","120.5109024"
"18677","DOH000000000001189","13.2437296","123.3148193"
"18678","DOH000000000001190","16.0067997","120.3961563"
"18679","DOH000000000001191","16.3402805","120.3888168"
"18680","DOH000000000001194","7.4589701","125.8091965"
"18681","DOH000000000001195","7.5726099","126.5059891"
"18682","DOH000000000001196","7.0048399","126.0361862"
